id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,Description,team_id,team_name,team_conference,team_points,team_won,team_line_score_q1,team_line_score_q2,team_line_score_q3,team_line_score_q4,team_spread,team_wins,team_loses,games_played,season_point_total,team_line_score_q1_total,team_line_score_q2_total,team_line_score_q3_total,team_line_score_q4_total,team_previous_wins,team_previous_loses,opp_team_id,opp_team_name,opp_team_conference,opp_team_points,opp_team_won,opp_team_line_score_q1,opp_team_line_score_q2,opp_team_line_score_q3,opp_team_line_score_q4,opp_team_spread,opp_team_wins,opp_team_loses,opp_games_played,opp_season_point_total,opp_team_line_score_q1_total,opp_team_line_score_q2_total,opp_team_line_score_q3_total,opp_team_line_score_q4_total,opp_team_previous_wins,opp_team_previous_loses,team_points_allowed,team_opp_wins,team_opp_loses,opp_team_points_allowed,opp_team_opp_wins,opp_team_opp_loses
401237034,2020,4,regular,,False,True,,3785,home_records,2,Auburn,SEC,29,True,8,0,7,14,16,0,0,0,0,0,0,0,0,8,3,96,Kentucky,SEC,13,False,0,0,6,0,-16,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0
401237095,2020,5,regular,,False,True,,3917,away_records,2,Auburn,SEC,6,False,3,3,3,0,-21,1,0,1,29,8,0,7,14,8,3,61,Georgia,SEC,27,True,10,14,3,0,21,1,0,1,37,5,5,22,10,11,1,13,0,0,10,0,0
401237101,2020,6,regular,,False,True,,3785,home_records,2,Auburn,SEC,30,True,10,10,0,10,2,1,1,2,35,11,3,10,14,8,3,8,Arkansas,SEC,28,False,12,12,6,10,-2,1,1,2,31,14,7,10,0,2,9,40,1,0,51,1,0
401237109,2020,7,regular,,False,True,,3994,away_records,2,Auburn,SEC,22,False,7,7,3,3,-8,2,1,3,65,21,13,10,24,8,3,2579,South Carolina,SEC,30,True,0,14,13,3,8,1,2,3,92,21,14,34,27,4,7,68,2,1,76,1,2
401237115,2020,8,regular,,False,True,,3974,away_records,2,Auburn,SEC,35,True,7,7,7,14,7,2,2,4,87,28,20,13,27,8,3,145,Ole Miss,SEC,28,False,0,14,7,7,-7,1,3,4,146,21,28,35,55,4,7,98,3,3,188,3,3
401237121,2020,9,regular,,False,True,,3785,home_records,2,Auburn,SEC,48,True,0,21,21,6,37,3,2,5,122,35,27,20,41,8,3,99,LSU,SEC,11,False,3,3,0,8,-37,2,2,4,168,38,59,54,24,12,0,126,4,6,120,2,5
401237137,2020,12,regular,,False,True,,3785,home_records,2,Auburn,SEC,30,True,0,10,10,10,13,4,2,6,170,35,48,41,47,8,3,2633,Tennessee,SEC,17,False,3,3,0,7,-13,2,4,6,124,38,62,24,14,6,5,137,6,8,189,9,6
401237142,2020,13,regular,,False,True,,3657,away_records,2,Auburn,SEC,13,False,3,3,3,7,-29,5,2,7,200,35,58,51,57,8,3,333,Alabama,SEC,42,True,7,14,14,7,29,7,0,7,346,87,107,84,75,10,1,154,8,12,135,11,10
401237150,2020,14,regular,,False,True,,3785,home_records,2,Auburn,SEC,20,False,0,10,10,0,-11,5,3,8,213,38,61,54,64,8,3,245,Texas A&M,SEC,31,True,7,7,0,17,11,6,1,7,220,73,62,65,41,7,4,196,15,12,157,11,10
401260157,2020,15,regular,,False,True,,3693,away_records,2,Auburn,SEC,24,True,3,3,3,15,14,5,4,9,233,38,71,64,64,8,3,344,Mississippi State,SEC,10,False,0,3,0,7,-14,2,6,8,146,63,45,33,41,5,6,227,21,13,227,14,14
