_id,_athlete_id,_recruit_type,_year,_ranking,_name,_school,_committed_to,_position,_height,_weight,_stars,_rating,_city,_state_province,_country,_hometown_info,discriminator
42908,4360310,HighSchool,2018,1,Trevor Lawrence,Cartersville,Clemson,PRO,78,208,5,0.9999,Cartersville,GA,USA,"{'latitude': '34.1650972', 'longitude': '-84.7999383', 'fipsCode': '13015'}",
42909,4362887,HighSchool,2018,2,Justin Fields,Harrison,Georgia,DUAL,75,221,5,0.9998,Kennesaw,GA,USA,"{'latitude': '34.0234337', 'longitude': '-84.6154897', 'fipsCode': '13067'}",
42910,4360304,HighSchool,2018,3,Xavier Thomas,IMG Academy,Clemson,SDE,75,260,5,0.9988,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
42911,4372014,HighSchool,2018,4,Eyabi Anoma,St. Frances Academy,Alabama,WDE,77,235,5,0.9987,Baltimore,MD,USA,"{'latitude': '39.2908816', 'longitude': '-76.610759', 'fipsCode': '24510'}",
42912,4361423,HighSchool,2018,5,Micah Parsons,Harrisburg,Penn State,WDE,75,235,5,0.9982,Harrisburg,PA,USA,"{'latitude': '40.2663107', 'longitude': '-76.8861122', 'fipsCode': '42043'}",
42913,4372012,HighSchool,2018,6,Patrick Surtain II,American Heritage,Alabama,CB,73,199,5,0.9973,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
42914,4361368,HighSchool,2018,7,Nicholas Petit-Frere,Berkeley Prep,Ohio State,OT,78,272,5,0.9963,Tampa,FL,USA,"{'latitude': '27.9477595', 'longitude': '-82.458444', 'fipsCode': '12057'}",
42915,4361426,HighSchool,2018,8,Justin Shorter,South Brunswick,Penn State,WR,76,213,5,0.9962,Monmouth Junction,NJ,USA,"{'latitude': '40.3789957', 'longitude': '-74.5465436', 'fipsCode': '34023'}",
42916,4361777,HighSchool,2018,9,Zamir White,Scotland County,Georgia,RB,73,210,5,0.9957,Laurinburg,NC,USA,"{'latitude': '34.7740495', 'longitude': '-79.4628248', 'fipsCode': '37165'}",
42917,4379412,HighSchool,2018,10,Jamaree Salyer,Pace Academy,Georgia,OG,76,342,5,0.9956,Atlanta,GA,USA,"{'latitude': '33.7490987', 'longitude': '-84.3901849', 'fipsCode': '13121'}",
42918,4374302,HighSchool,2018,11,Amon-Ra St. Brown,Mater Dei,USC,WR,71,191,5,0.9948,Anaheim,CA,USA,"{'latitude': '33.8347516', 'longitude': '-117.911732', 'fipsCode': '06059'}",
42919,4379397,HighSchool,2018,12,Tyson Campbell,American Heritage,Georgia,CB,74,180,5,0.9944,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
42920,4362630,HighSchool,2018,13,Terrace Marshall,Parkway,LSU,WR,74,192,5,0.993,Bossier City,LA,USA,"{'latitude': '32.5369356', 'longitude': '-93.6952689', 'fipsCode': '22015'}",
42921,,HighSchool,2018,14,KJ Henry,West Forsyth,Clemson,WDE,77,235,5,0.9928,Clemmons,NC,USA,"{'latitude': '36.0215258', 'longitude': '-80.3819984', 'fipsCode': '37067'}",
42922,4374297,HighSchool,2018,15,Palaie Gaoteote IV,Bishop Gorman,USC,ILB,74,235,5,0.9926,Las Vegas,NV,USA,"{'latitude': '36.1672559', 'longitude': '-115.1485163', 'fipsCode': '32003'}",
42923,4374303,HighSchool,2018,16,JT Daniels,Mater Dei,USC,PRO,74,205,5,0.9919,Santa Ana,CA,USA,"{'latitude': '33.7494951', 'longitude': '-117.8732213', 'fipsCode': '06059'}",
42924,4360320,HighSchool,2018,17,Jackson Carman,Fairfield,Clemson,OT,78,330,5,0.9894,Fairfield,OH,USA,"{'latitude': '39.3458953', 'longitude': '-84.5605031', 'fipsCode': '39017'}",
42925,4379392,HighSchool,2018,18,Adam Anderson,Rome,Georgia,OLB,76,214,5,0.9889,Rome,GA,USA,"{'latitude': '34.257038', 'longitude': '-85.1646726', 'fipsCode': '13115'}",
42926,4362077,HighSchool,2018,19,Caden Sterns,Steele,Texas,S,73,192,5,0.9886,Cibolo,TX,USA,"{'latitude': '29.5707831', 'longitude': '-98.2330927', 'fipsCode': '48187'}",
42927,4361338,HighSchool,2018,20,Taron Vincent,IMG Academy,Ohio State,DT,74,285,5,0.9884,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
42928,4361343,HighSchool,2018,21,Tyreke Johnson,Trinity Christian Academy,Ohio State,S,73,191,5,0.9876,Jacksonville,FL,USA,"{'latitude': '30.3321838', 'longitude': '-81.655651', 'fipsCode': '12031'}",
42929,4361788,HighSchool,2018,22,Cade Mays,Knoxville Catholic,Georgia,OT,78,318,5,0.9869,Knoxville,TN,USA,"{'latitude': '35.9603948', 'longitude': '-83.9210261', 'fipsCode': '47093'}",
42930,4361776,HighSchool,2018,23,Brenton Cox,Stockbridge,Georgia,SDE,76,247,5,0.9867,Stockbridge,GA,USA,"{'latitude': '33.5442781', 'longitude': '-84.2338093', 'fipsCode': '13151'}",
42931,4362086,HighSchool,2018,24,B.J. Foster,Angleton,Texas,S,73,188,5,0.9865,Angleton,TX,USA,"{'latitude': '29.16941', 'longitude': '-95.4318847', 'fipsCode': '48039'}",
42932,4362496,HighSchool,2018,25,Lorenzo Lingard,University,Miami,RB,72,190,5,0.9861,Orange City,FL,USA,"{'latitude': '28.9488761', 'longitude': '-81.2986741', 'fipsCode': '12127'}",
42933,4360307,HighSchool,2018,26,Derion Kendrick,South Pointe,Clemson,WR,73,184,5,0.9855,Rock Hill,SC,USA,"{'latitude': '34.9248667', 'longitude': '-81.0250784', 'fipsCode': '45091'}",
42934,4361427,HighSchool,2018,27,Ricky Slade,C. D. Hylton,Penn State,APB,69,185,5,0.9853,Woodbridge,VA,USA,"{'latitude': '38.6581723', 'longitude': '-77.2497049', 'fipsCode': '51153'}",
42935,4374299,HighSchool,2018,28,Olaijah Griffin,Mission Viejo,USC,CB,72,170,5,0.9849,Mission Viejo,CA,USA,"{'latitude': '33.5965685', 'longitude': '-117.659405', 'fipsCode': '06059'}",
42936,4360288,HighSchool,2018,29,Brey Walker,Westmoore,Oklahoma,OT,79,320,5,0.9836,Moore,OK,USA,"{'latitude': '35.3395135', 'longitude': '-97.4867045', 'fipsCode': '40027'}",
42937,4361351,HighSchool,2018,30,Jaelen Gill,Westerville South,Ohio State,APB,73,182,4,0.9831,Westerville,OH,USA,"{'latitude': '40.126139', 'longitude': '-82.9295287', 'fipsCode': '39049'}",
42938,4379416,HighSchool,2018,31,Quay Walker,Crisp County,Georgia,OLB,76,236,4,0.983,Cordele,GA,USA,"{'latitude': '31.9635074', 'longitude': '-83.7823938', 'fipsCode': '13081'}",
42939,4374301,HighSchool,2018,32,Isaac Taylor-Stuart,Helix,USC,CB,74,187,4,0.9827,San Diego,CA,USA,"{'latitude': '32.7174209', 'longitude': '-117.1627714', 'fipsCode': '06073'}",
42940,4362504,HighSchool,2018,33,Brevin Jordan,Bishop Gorman,Miami,TE,75,250,4,0.982,Las Vegas,NV,USA,"{'latitude': '36.1672559', 'longitude': '-115.1485163', 'fipsCode': '32003'}",
42941,4361340,HighSchool,2018,34,Tyreke Smith,Cleveland Heights,Ohio State,WDE,75,260,4,0.9816,Cleveland,OH,USA,"{'latitude': '41.5051613', 'longitude': '-81.6934446', 'fipsCode': '39035'}",
67893,4360468,HighSchool,2018,35,Jaiden Lars-Woodbey,St. John Bosco,Florida State,S,74,204,4,0.9814,Fontana,CA,USA,"{'latitude': '34.0922335', 'longitude': '-117.435048', 'fipsCode': '06071'}",
42942,4360468,HighSchool,2018,35,Jaiden Woodbey,St. John Bosco,Florida State,S,74,204,4,0.9814,Fontana,CA,USA,"{'latitude': '34.0922335', 'longitude': '-117.435048', 'fipsCode': '06071'}",
42943,4367178,HighSchool,2018,36,Dorian Thompson-Robinson,Bishop Gorman,UCLA,DUAL,73,195,4,0.9813,Las Vegas,NV,USA,"{'latitude': '36.1672559', 'longitude': '-115.1485163', 'fipsCode': '32003'}",
42944,4361372,HighSchool,2018,37,Jeremy Ruckert,Lindenhurst,Ohio State,TE,77,238,4,0.981,Lindenhurst,NY,USA,"{'latitude': '40.6867667', 'longitude': '-73.3734547', 'fipsCode': '36103'}",
42945,4360276,HighSchool,2018,38,Brendan Radley-Hiles,IMG Academy,Oklahoma,CB,70,183,4,0.9807,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
42946,4372016,HighSchool,2018,39,Jaylen Waddle,Episcopal,Alabama,WR,69,175,4,0.9791,Bellaire,TX,USA,"{'latitude': '29.7057858', 'longitude': '-95.4588299', 'fipsCode': '48201'}",
42947,4374298,HighSchool,2018,40,Devon Williams,Antelope Valley,USC,WR,76,200,4,0.9791,Lancaster,CA,USA,"{'latitude': '34.6981064', 'longitude': '-118.1366153', 'fipsCode': '06037'}",
42948,4379399,HighSchool,2018,41,James Cook,Northwestern,Georgia,APB,71,181,4,0.9786,Miami,FL,USA,"{'latitude': '25.7742658', 'longitude': '-80.1936589', 'fipsCode': '12086'}",
42949,4362629,HighSchool,2018,42,Kelvin Joseph,Scotlandville Magnet,LSU,S,73,191,4,0.9784,Baton Rouge,LA,USA,"{'latitude': '30.4459596', 'longitude': '-91.18738', 'fipsCode': '22033'}",
42950,4362431,HighSchool,2018,43,Justin Rogers,Parkway,TCU,DUAL,76,210,4,0.9772,Bossier City,LA,USA,"{'latitude': '32.5369356', 'longitude': '-93.6952689', 'fipsCode': '22015'}",
42951,4361339,HighSchool,2018,44,Teradja Mitchell,Bishop Sullivan Catholic,Ohio State,ILB,74,232,4,0.9771,Virginia Beach,VA,USA,"{'latitude': '36.8529841', 'longitude': '-75.9774183', 'fipsCode': '51810'}",
42952,4360306,HighSchool,2018,45,Justyn Ross,Central,Clemson,WR,76,201,4,0.9765,Phenix City,AL,USA,"{'latitude': '32.4709761', 'longitude': '-85.0007653', 'fipsCode': '01113'}",
42953,,HighSchool,2018,46,Tanner McKee,Centennial,Stanford,PRO,78,220,4,0.9764,Corona,CA,USA,"{'latitude': '33.8752945', 'longitude': '-117.5664449', 'fipsCode': '06065'}",
42954,4362074,HighSchool,2018,47,Jalen Green,Heights,Texas,CB,72,171,4,0.9762,Houston,TX,USA,"{'latitude': '29.7589382', 'longitude': '-95.3676974', 'fipsCode': '48201'}",
42955,4369848,HighSchool,2018,48,J.J. Peterson,Colquitt County,Tennessee,OLB,74,231,4,0.9761,Moultrie,GA,USA,"{'latitude': '31.179998', 'longitude': '-83.7887928', 'fipsCode': '13071'}",
42956,4361329,HighSchool,2018,49,Joey Gatewood,Bartram Trail,Auburn,ATH,76,232,4,0.9759,Jacksonville,FL,USA,"{'latitude': '30.3321838', 'longitude': '-81.655651', 'fipsCode': '12031'}",
42957,4363037,HighSchool,2018,50,A.J. Lytton,Dr. Henry Wise,Florida State,CB,70,173,4,0.9757,Upper Marlboro,MD,USA,"{'latitude': '38.8165274', 'longitude': '-76.7519753', 'fipsCode': '24033'}",
42958,4379402,HighSchool,2018,51,Luke Ford,Carterville,Georgia,TE,78,248,4,0.9753,Carterville,IL,USA,"{'latitude': '37.7597872', 'longitude': '-89.0774278', 'fipsCode': '29097'}",
42959,4362088,HighSchool,2018,52,DeMarvion Overshown,Arp,Texas,S,76,200,4,0.9737,Arp,TX,USA,"{'latitude': '32.2254831', 'longitude': '-95.059035', 'fipsCode': '48423'}",
42960,4373281,HighSchool,2018,53,William Barnes,Apopka,North Carolina,OT,76,325,4,0.9732,Apopka,FL,USA,"{'latitude': '28.6779683', 'longitude': '-81.5115214', 'fipsCode': '12095'}",
42961,4362497,HighSchool,2018,54,Nesta Silvera,American Heritage,Miami,DT,74,308,4,0.973,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
67894,-1019628,HighSchool,2018,54,Nesta Jade Silvera,American Heritage,Miami,DT,74,308,4,0.973,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
42962,4361366,HighSchool,2018,55,Tommy Togiai,Highland,Ohio State,DT,75,290,4,0.9721,Pocatello,ID,USA,"{'latitude': '42.8688613', 'longitude': '-112.4401098', 'fipsCode': '16005'}",
42963,4360313,HighSchool,2018,56,Kyler McMichael,Greater Atlanta Christian School,Clemson,CB,73,201,4,0.972,Norcross,GA,USA,"{'latitude': '33.9412127', 'longitude': '-84.2135309', 'fipsCode': '13135'}",
42964,4373825,HighSchool,2018,57,Penei Sewell,Desert HIlls,Oregon,OG,77,349,4,0.9709,Saint George,UT,USA,"{'latitude': '37.104153', 'longitude': '-113.5841313', 'fipsCode': '49053'}",
42965,,HighSchool,2018,58,Jordyn Adams,Green Hope,North Carolina,WR,74,175,4,0.9707,Cary,NC,USA,"{'latitude': '35.7883046', 'longitude': '-78.7811964', 'fipsCode': '37183'}",
42966,4361089,HighSchool,2018,59,Marquis Spiker,Murrieta Valley,Washington,WR,75,180,4,0.9703,Murrieta,CA,USA,"{'latitude': '33.577752399999994', 'longitude': '-117.18845420205307', 'fipsCode': '06065'}",
42967,4363034,HighSchool,2018,60,Asante Samuel Jr.,St. Thomas Aquinas,Florida State,CB,69,166,4,0.9702,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
42968,4362107,HighSchool,2018,61,Brennan Eagles,Alief Taylor,Texas,WR,75,214,4,0.9699,Houston,TX,USA,"{'latitude': '29.7589382', 'longitude': '-95.3676974', 'fipsCode': '48201'}",
42969,4361787,HighSchool,2018,62,Trey Hill,Houston County,Georgia,OG,75,346,4,0.9692,Warner Robins,GA,USA,"{'latitude': '32.6200973', 'longitude': '-83.606568', 'fipsCode': '13153'}",
42970,4362874,HighSchool,2018,63,Matt Corral,Long Beach Poly,Ole Miss,PRO,74,202,4,0.969,Long Beach,CA,USA,"{'latitude': '33.7690164', 'longitude': '-118.1916048', 'fipsCode': '06037'}",
42971,4362076,HighSchool,2018,64,Anthony Cook,Lamar,Texas,CB,72,168,4,0.9682,Houston,TX,USA,"{'latitude': '29.7589382', 'longitude': '-95.3676974', 'fipsCode': '48201'}",
42972,4361429,HighSchool,2018,65,Rasheed Walker,North Point,Penn State,OT,78,290,4,0.9676,Waldorf,MD,USA,"{'latitude': '38.6263882', 'longitude': '-76.9106581', 'fipsCode': '24017'}",
42973,4360274,HighSchool,2018,66,Ronnie Perkins,Lutheran North,Oklahoma,WDE,74,256,4,0.9666,Saint Louis,MO,USA,"{'latitude': '38.6264178', 'longitude': '-90.1998378', 'fipsCode': '29510'}",
42974,4362499,HighSchool,2018,67,Mark Pope,Miami Southridge,Miami,WR,73,175,4,0.9656,Hialeah,FL,USA,"{'latitude': '25.8575963', 'longitude': '-80.2781057', 'fipsCode': '12086'}",
42975,4361363,HighSchool,2018,68,Matthew Jones,Erasmus Hall,Ohio State,OC,76,300,4,0.9652,Brooklyn,NY,USA,"{'latitude': '40.6501038', 'longitude': '-73.9495823', 'fipsCode': '36047'}",
42976,4360233,HighSchool,2018,69,Jacob Copeland,Escambia,Florida,WR,72,192,4,0.9651,Pensacola,FL,USA,"{'latitude': '30.421309', 'longitude': '-87.2169149', 'fipsCode': '12033'}",
42977,4361322,HighSchool,2018,70,Houston Griffith,IMG Academy,Notre Dame,CB,73,192,4,0.9651,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
42978,4361344,HighSchool,2018,71,Josh Proctor,Owasso,Ohio State,S,74,190,4,0.964,Owasso,OK,USA,"{'latitude': '36.2661536', 'longitude': '-95.8549456', 'fipsCode': '40143'}",
42979,4569175,HighSchool,2018,72,Michael Thompson,Parkway North,Oklahoma,DT,75,291,4,0.9638,Saint Louis,MO,USA,"{'latitude': '38.6264178', 'longitude': '-90.1998378', 'fipsCode': '29510'}",
42980,4361347,HighSchool,2018,73,Kamryn Babb,Christian Brothers College,Ohio State,WR,73,189,4,0.9629,Saint Louis,MO,USA,"{'latitude': '38.6264178', 'longitude': '-90.1998378', 'fipsCode': '29510'}",
42981,4360127,HighSchool,2018,74,Stephon Wynn,IMG Academy,Alabama,SDE,76,308,4,0.9624,Anderson,SC,USA,"{'latitude': '34.5068601', 'longitude': '-82.6506264', 'fipsCode': '45007'}",
42982,4372521,HighSchool,2018,75,Leon O'Neal Jr.,Cy Springs,Texas A&M,S,73,190,4,0.9624,Cypress,TX,USA,"{'latitude': '29.9691116', 'longitude': '-95.6971686', 'fipsCode': '48201'}",
42983,4361422,HighSchool,2018,76,Jayson Oweh,Blair Academy,Penn State,SDE,77,236,4,0.9617,Blairstown,NJ,USA,"{'latitude': '40.9828753', 'longitude': '-74.9604501', 'fipsCode': '34041'}",
42984,4362507,HighSchool,2018,77,Jarren Williams,Central Gwinnett,Miami,PRO,74,206,4,0.9614,Lawrenceville,GA,USA,"{'latitude': '33.9562149', 'longitude': '-83.9879625', 'fipsCode': '13135'}",
42985,4361421,HighSchool,2018,78,PJ Mustipher,McDonogh School,Penn State,DT,76,290,4,0.9613,Owings Mills,MD,USA,"{'latitude': '39.4010753', 'longitude': '-76.796299', 'fipsCode': '24005'}",
42986,4361652,HighSchool,2018,79,Payton Wilson,Orange,NC State,OLB,76,225,4,0.9613,Hillsborough,NC,USA,"{'latitude': '36.0752297', 'longitude': '-79.0992279', 'fipsCode': '37135'}",
42987,4361350,HighSchool,2018,80,Brian Snead,Armwood,Ohio State,RB,71,200,4,0.9607,Seffner,FL,USA,"{'latitude': '27.998541000000003', 'longitude': '-82.27488400114905', 'fipsCode': '12057'}",
42988,4360246,HighSchool,2018,81,Richard Gouraige,Cambridge Christian School,Florida,OT,77,271,4,0.9603,Tampa,FL,USA,"{'latitude': '27.9477595', 'longitude': '-82.458444', 'fipsCode': '12057'}",
42989,4372758,HighSchool,2018,82,Kevin Austin,North Broward Prep,Notre Dame,WR,75,198,4,0.9601,Pompano Beach,FL,USA,"{'latitude': '26.2378597', 'longitude': '-80.1247667', 'fipsCode': '12011'}",
42990,4372768,HighSchool,2018,83,Phil Jurkovec,Pine-Richland,Notre Dame,DUAL,77,215,4,0.9593,Gibsonia,PA,USA,"{'latitude': '40.6300671', 'longitude': '-79.9695004', 'fipsCode': '42003'}",
42991,4362628,HighSchool,2018,84,JaMarr Chase,Archbishop Rummel,LSU,WR,73,195,4,0.9589,Metairie,LA,USA,"{'latitude': '30.001852', 'longitude': '-90.1767149159888', 'fipsCode': '22051'}",
42992,4360230,HighSchool,2018,85,Emory Jones,Heard County,Florida,DUAL,74,195,4,0.9587,Franklin,GA,USA,"{'latitude': '33.2776182', 'longitude': '-85.0979973', 'fipsCode': '13149'}",
42993,4374313,HighSchool,2018,86,Solomon Tuliaupupu,Mater Dei,USC,ILB,74,220,4,0.9582,Santa Ana,CA,USA,"{'latitude': '33.7494951', 'longitude': '-117.8732213', 'fipsCode': '06059'}",
42994,4379411,HighSchool,2018,87,Otis Reese,Lee County,Georgia,OLB,76,206,4,0.9575,Leesburg,GA,USA,"{'latitude': '31.7324556', 'longitude': '-84.1711966', 'fipsCode': '13177'}",
42995,4360853,HighSchool,2018,88,Talanoa Hufanga,Crescent Valley,USC,ATH,72,193,4,0.9571,Corvallis,OR,USA,"{'latitude': '44.5645659', 'longitude': '-123.2620435', 'fipsCode': '41003'}",
42996,,HighSchool,2018,89,Justin Watkins,East Ridge,Florida,WR,71,172,4,0.9567,Clermont,FL,USA,"{'latitude': '28.5494447', 'longitude': '-81.7728543', 'fipsCode': '12069'}",
42997,4372778,HighSchool,2018,90,Shayne Simon,St. Peters Prep,Notre Dame,OLB,75,215,4,0.9567,Jersey City,NJ,USA,"{'latitude': '40.7281575', 'longitude': '-74.0776417', 'fipsCode': '34017'}",
42998,4361088,HighSchool,2018,91,Colson Yankoff,Coeur d'Alene,Washington,DUAL,76,204,4,0.9564,Coeur D Alene,ID,USA,"{'latitude': '47.7066144', 'longitude': '-116.8551', 'fipsCode': '16055'}",
42999,4371975,HighSchool,2018,92,Matthew Hill,Brookwood,Auburn,WR,74,185,4,0.9562,Snellville,GA,USA,"{'latitude': '33.857328', 'longitude': '-84.0199108', 'fipsCode': '13135'}",
43000,4361362,HighSchool,2018,93,Tyler Friday,Don Bosco Prep,Ohio State,DT,75,263,4,0.956,Ramsey,NJ,USA,"{'latitude': '41.0573188', 'longitude': '-74.1409771', 'fipsCode': '34003'}",
43001,4361091,HighSchool,2018,94,Jacob Sirmon,Bothell,Washington,PRO,76,227,4,0.9559,Bothell,WA,USA,"{'latitude': '47.7598697', 'longitude': '-122.2068288', 'fipsCode': '53033'}",
43002,4372522,HighSchool,2018,95,Jalen Preston,Manvel,Texas A&M,WR,74,212,4,0.9557,Manvel,TX,USA,"{'latitude': '29.4664706', 'longitude': '-95.355714', 'fipsCode': '48039'}",
43003,4362079,HighSchool,2018,96,Joshua Moore,Yoakum,Texas,WR,73,170,4,0.9556,Yoakum,TX,USA,"{'latitude': '29.289352', 'longitude': '-97.1492978', 'fipsCode': '48123'}",
43004,4362500,HighSchool,2018,97,Al Blades Jr.,St. Thomas Aquinas,Miami,CB,72,170,4,0.9556,Fort Lauderdale,FL,USA,"{'latitude': '26.1223084', 'longitude': '-80.1433786', 'fipsCode': '12011'}",
43005,4373812,HighSchool,2018,98,Bryan Addison,Junipero Serra,Oregon,ATH,77,180,4,0.9552,Gardena,CA,USA,"{'latitude': '33.8963593', 'longitude': '-118.3053037', 'fipsCode': '06037'}",
43006,4361324,HighSchool,2018,99,Jack Lamb,Great Oak,Notre Dame,ILB,76,220,4,0.9547,Temecula,CA,USA,"{'latitude': '33.4946353', 'longitude': '-117.1473661', 'fipsCode': '06065'}",
43007,4360275,HighSchool,2018,100,T.J. Pledger,IMG Academy,Oklahoma,APB,68,190,4,0.9543,Bradenton,FL,USA,"{'latitude': '27.4989278', 'longitude': '-82.5748194', 'fipsCode': '12081'}",
43008,-1027413,HighSchool,2018,101,Ron Tatum,Putnam City,Oklahoma,SDE,76,269,4,0.9541,Oklahoma City,OK,USA,"{'latitude': '35.4729886', 'longitude': '-97.5170536', 'fipsCode': '40109'}",
43009,4372482,HighSchool,2018,102,Josh Belk,Lewisville,Clemson,DT,75,309,4,0.9529,Richburg,SC,USA,"{'latitude': '34.716394', 'longitude': '-81.0189337', 'fipsCode': '45023'}",
